name,value,year,last value,rank
Game of Thrones,804920,1,804920,0
Avengers: Endgame,57966,1,57966,1
Rocketman,49435,1,49435,2
Layers of Fear 2,44410,1,44410,3
Call of Duty,44404,1,44404,4
SEGA Mega Drive Mini,36375,1,36375,5
Star Wars Knights of the Old Republic,33997,1,33997,6
Aladdin,33712,1,33712,7
Cyberpunk 2077,31619,1,31619,8
Game of Thrones: Season 8,31199,1,31199,9
Game of Thrones,440700,2,804920,0
Aladdin,70416,2,33712,1
Pokemon Shield,43090,2,#N/A,2
Avengers: Endgame,39501,2,57966,3
Deadwood: The Movie,28982,2,#N/A,4
Cyberpunk 2077,27882,2,31619,5
Neon Genesis Evangelion,26140,2,#N/A,6
Layers of Fear 2,22667,2,44410,7
Rocketman,22644,2,49435,8
The Iron Throne,21461,2,#N/A,9
Game of Thrones,454317,3,440700,0
Ubisoft,37521,3,#N/A,1
Death Stranding,31513,3,#N/A,2
Aladdin,30835,3,70416,3
Avengers: Endgame,28679,3,39501,4
Marvel's Avengers,27666,3,#N/A,5
Pokemon Sword,25674,3,#N/A,6
Other,24946,3,#N/A,7
Layers of Fear 2,17320,3,22667,8
Rocketman,15938,3,22644,9
Game of Thrones,190556,4,454317,0
Contra Anniversary Collection,178778,4,#N/A,1
Godzilla: King of the Monsters,176337,4,#N/A,2
Avengers: Endgame,116019,4,28679,3
Cyberpunk 2077,89935,4,#N/A,4
Black Mirror,79735,4,#N/A,5
Trover Saves the Universe,54105,4,#N/A,6
Apple,45963,4,#N/A,7
Mortal Kombat 11,44781,4,#N/A,8
Pokemon Masters,42125,4,42125,9
Death Stranding,414023,5,#N/A,0
Anthem,349625,5,#N/A,1
Star Wars: Episode IV -- A New Hope,175634,5,#N/A,2
Godzilla: King of the Monsters,73014,5,176337,3
Square Enix,71687,5,#N/A,4
Cyberpunk 2077,70070,5,89935,5
Deadwood: The Movie,67192,5,#N/A,6
Game of Thrones,66091,5,190556,7
Pokemon Masters,57027,5,42125,8
Fable -- Next Project,52979,5,52979,9
Star Wars: Episode IV -- A New Hope,869274,6,175634,0
Anthem,402610,6,349625,1
Marvel's Avengers,315479,6,#N/A,2
Call of Duty: Modern Warfare,236277,6,#N/A,3
The Lion King,199446,6,#N/A,4
Death Stranding,164404,6,414023,5
Star Wars: The Rise of Skywalker,119456,6,#N/A,6
Godzilla: King of the Monsters,75533,6,73014,7
Star Wars: Galaxy's Edge,73189,6,#N/A,8
The Batman,72577,6,#N/A,9
The Batman,235837,7,72577,0
Swamp Thing,189063,7,#N/A,1
Godzilla: King of the Monsters,186497,7,75533,2
Star Wars: The Rise of Skywalker,135486,7,119456,3
Star Wars: Episode IV -- A New Hope,109412,7,869274,4
Warhammer: Chaosbane,108233,7,#N/A,5
Call of Duty: Modern Warfare,82578,7,236277,6
Good Omens,73420,7,#N/A,7
Mortal Kombat 11,65919,7,#N/A,8
Marvel's Avengers,64068,7,315479,9
Godzilla: King of the Monsters,189370,8,186497,0
Dauntless,117394,8,#N/A,1
Batman [2016 - Current],115414,8,#N/A,2
Swamp Thing,115225,8,189063,3
The Batman,76769,8,235837,4
Avengers: Endgame,73894,8,#N/A,5
Mass Effect 3,72020,8,#N/A,6
Game of Thrones,62647,8,#N/A,7
Call of Duty,43069,8,#N/A,8
Mortal Kombat 11,41049,8,65919,9
Godzilla: King of the Monsters,129684,9,189370,0
Game of Thrones,101526,9,62647,1
Cuphead,90062,9,#N/A,2
Fallout 76,73623,9,#N/A,3
Swamp Thing,60518,9,115225,4
Cyberpunk 2077,60094,9,#N/A,5
Batman [2016 - Current],56652,9,115414,6
Avengers: Endgame,47501,9,73894,7
Dauntless,43388,9,117394,8
Good Omens,37991,9,#N/A,9
Godzilla: King of the Monsters,253104,10,129684,0
Good Omens,66074,10,37991,1
Bethesda  Softworks,56568,10,#N/A,2
Apple,54547,10,#N/A,3
Outer Wilds,52375,10,#N/A,4
Control,51599,10,#N/A,5
Thor: The Dark World,42573,10,#N/A,6
Game of Thrones,39579,10,101526,7
Fallout 76,35233,10,73623,8
Chernobyl: The Mini-Series,33871,10,#N/A,9
Final Fantasy VII Remake,225652,11,#N/A,0
SEGA Mega Drive Mini,140550,11,#N/A,1
Blasphemous,137628,11,#N/A,2
Stranger Things: Season 3,111470,11,#N/A,3
Swamp Thing,88609,11,#N/A,4
Chernobyl: The Mini-Series,87050,11,33871,5
Godzilla: King of the Monsters,81710,11,253104,6
Dark Phoenix,70131,11,#N/A,7
The Rook,64538,11,#N/A,8
Immortal Hulk [2018],56532,11,#N/A,9
Pokemon Sword,797043,12,#N/A,0
Dark Phoenix,388973,12,70131,1
Pokemon Shield,359440,12,#N/A,2
Black Mirror,145846,12,#N/A,3
The Walking Dead #192,131341,12,#N/A,4
PlayStation 5,84372,12,#N/A,5
Wonder Woman 1984,73120,12,#N/A,6
Game of Thrones,54958,12,#N/A,7
Beyond Good & Evil 2,53663,12,#N/A,8
DCeased,51893,12,#N/A,9
Marvel's Jessica Jones,523797,13,#N/A,0
Swamp Thing,328372,13,#N/A,1
Google Stadia,148431,13,#N/A,2
Dark Phoenix,110629,13,388973,3
Pokemon Sword,99612,13,797043,4
Destiny 2,98671,13,#N/A,5
Star Wars Jedi: Fallen Order,97668,13,#N/A,6
Game of Thrones,92779,13,54958,7
Baldur's Gate III,74932,13,#N/A,8
Darksiders Genesis,74092,13,#N/A,9
Dark Phoenix,220595,14,110629,0
Star Wars Jedi: Fallen Order,159341,14,97668,1
Red Dead Redemption 2,107252,14,#N/A,2
George R. R. Martin,97429,14,#N/A,3
Swamp Thing,68289,14,328372,4
Destroy All Humans!,63728,14,#N/A,5
Marvel's Jessica Jones,63367,14,523797,6
Game of Thrones,49923,14,92779,7
Destroy All Humans! [2005],44778,14,#N/A,8
Lucifer,43942,14,#N/A,9
Star Wars Jedi: Fallen Order,400355,15,159341,0
Dark Phoenix,307021,15,220595,1
George R. R. Martin,92617,15,97429,2
FIFA 20,52226,15,#N/A,3
Apex Legends,48012,15,#N/A,4
Xbox Project Scarlett,41809,15,#N/A,5
Pokemon Sword,39574,15,#N/A,6
Cyberpunk 2077,39012,15,#N/A,7
Battlefield V,32231,15,#N/A,8
Game of Thrones,28728,15,49923,9
Xbox Project Scarlett,322003,16,41809,0
Cyberpunk 2077,259266,16,39012,1
Dark Phoenix,258374,16,307021,2
Loki: The Series,136233,16,#N/A,3
Star Wars Jedi: Fallen Order,132195,16,400355,4
Dragon Ball Z: Kakarot,123032,16,#N/A,5
Halo Infinite,122214,16,#N/A,6
Elden Ring,115572,16,#N/A,7
Final Fantasy VII Remake,100850,16,#N/A,8
Gears 5,97489,16,#N/A,9
Final Fantasy VII Remake,249832,17,100850,0
Marvel's Avengers,216348,17,#N/A,1
Dark Phoenix,194771,17,258374,2
Xbox Project Scarlett,145893,17,322003,3
Cyberpunk 2077,130578,17,259266,4
Doom Eternal,115422,17,#N/A,5
Gods & Monsters,105110,17,#N/A,6
Watch Dogs Legion,93794,17,#N/A,7
Gears 5,50270,17,97489,8
Dragon Ball Z: Kakarot,49091,17,123032,9
Marvel's Avengers,537514.5,18,216348,0
Cyberpunk 2077,487689,18,130578,1
The Legend of Zelda: Breath of the Wild,344007,18,#N/A,2
The Legend of Zelda: Breath of the Wild 2,320770.5,18,#N/A,3
The Legend of Zelda: Link's Awakening [Switch],234810,18,#N/A,4
Dark Phoenix,213988.5,18,194771,5
Final Fantasy VII Remake,161212.5,18,249832,6
Animal Crossing: New Horizons,115627.5,18,#N/A,7
Super Smash Bros. Ultimate,113314.5,18,#N/A,8
Pokemon Shield,112756.5,18,#N/A,9
